iter	RMSE
248	13.75735275
249	13.75014209
250	13.70711212
251	13.69302169
252	13.65220146
253	13.64156127
254	13.62778307
255	13.62362308
256	13.61227819
257	13.56427453
258	13.50331497
259	13.49482606
260	13.43248494
261	13.3953684
262	13.35118768
263	13.31423143
264	13.31043019
265	13.26854572
266	13.25746471
267	13.23029545
268	13.22220997
269	13.19688192
270	13.13360116
271	13.11171745
272	13.10423959
273	13.07794181
274	13.06624623
275	13.014476
276	12.95625572
277	12.95263113
278	12.91994222
279	12.91250086
280	12.8839853
281	12.82393588
282	12.79116513
283	12.77221472
284	12.7191338
285	12.68898788
286	12.6719496
287	12.64577746
288	12.59692161
289	12.53824116
290	12.51797346
291	12.4888078
292	12.47202025
293	12.44821716
294	12.42561055
295	12.42013772
296	12.38184353
297	12.36604039
298	12.34589951
299	12.336497
300	12.3255393
301	12.27051328
302	12.22149524
303	12.21801834
304	12.1814407
305	12.12415834
306	12.10785571
307	12.07604877
308	12.04128418
309	12.01306061
310	11.99941013
311	11.97851691
312	11.95677342
313	11.92327217
314	11.91531016
315	11.89677303
316	11.87140659
317	11.83132613
318	11.80449484
319	11.78425604
320	11.7796523
321	11.75625114
322	11.73491352
323	11.72495855
324	11.70244657
325	11.68448748
326	11.68077618
327	11.65288914
328	11.62868677
329	11.58213462
330	11.55131482
331	11.52315475
332	11.51673724
333	11.49354428
334	11.46311057
335	11.4395425
336	11.39563785
337	11.38533787
338	11.33936094
339	11.30009107
340	11.29210364
341	11.27075718
342	11.25033847
343	11.23502676
344	11.19672238
345	11.17928648
346	11.13399787
347	11.11272306
348	11.09590089
349	11.04368779
350	11.02606134
351	11.00676224
352	10.99302051
353	10.94771787
354	10.94441383
355	10.92693363
356	10.87615228
357	10.86031609
358	10.83756963
359	10.79693174
360	10.77836917
361	10.75923351
362	10.73520496
363	10.71474698
364	10.68320542
365	10.65037285
366	10.63568898
367	10.63261756
368	10.59876942
369	10.582686
370	10.56419076
371	10.55031004
372	10.52237508
373	10.49924451
374	10.47412341
375	10.45781976
376	10.45426143
377	10.43979244
378	10.41000331
379	10.37706618
380	10.34298223
381	10.34065069
382	10.31783864
383	10.28793869
384	10.27210635
385	10.25933338
386	10.25705967
387	10.21626009
388	10.19903503
389	10.18000473
390	10.16147738
391	10.14149038
392	10.13673073
393	10.11039935
394	10.06260008
395	10.01861692
396	9.970138436
397	9.950115331
398	9.924641259
399	9.921397712
400	9.901231877
401	9.86320031
402	9.855792036
403	9.8364389
404	9.80487481
405	9.79297971
406	9.770212746
407	9.757163746
408	9.754341256
409	9.736762199
410	9.721553687
411	9.697057096
412	9.681035296
413	9.635463712
414	9.6186038
415	9.576970307
416	9.559888185
417	9.557778978
418	9.531461551
419	9.51726261
420	9.479951
421	9.441177121
422	9.425557867
423	9.408750788
424	9.372679671
425	9.370313427
426	9.355512315
427	9.353680845
428	9.350196024
429	9.33318996
430	9.302199418
431	9.291082783
432	9.253451341
433	9.241399772
434	9.211885973
435	9.182609403
436	9.178850184
437	9.157315667
438	9.135492019
439	9.122286371
440	9.106890191
441	9.080450493
442	9.065186375
443	9.028405657
444	9.012388621
445	8.993896605
446	8.98212985
447	8.979553629
448	8.95423062
449	8.921892511
450	8.919934182
451	8.918274474
452	8.903350108
453	8.884549953
454	8.866083336
455	8.832799656
456	8.805041361
457	8.787733598
458	8.77706424
459	8.761412411
460	8.746745318
461	8.718763548
462	8.704740569
463	8.685261051
464	8.683719199
465	8.662082837
466	8.651350095
467	8.640127091
468	8.627600883
469	8.610215934
470	8.594802731
471	8.584226328
472	8.567766541
473	8.551757874
474	8.544472852
475	8.525260399
476	8.516636908
477	8.480976576
478	8.469964598
479	8.441201613
480	8.415824675
481	8.38147135
482	8.367098203
483	8.352677887
484	8.333539509
485	8.308059411
486	8.292114113
487	8.268103687
488	8.240076589
489	8.223565175
490	8.212303889
491	8.192449061
492	8.1817845
493	8.169717686
494	8.158350725
495	8.155834165
496	8.134443823
497	8.11670497
498	8.091017943
499	8.07846083
500	8.071100274
501	8.055082106
502	8.035274537
503	8.03288323
504	8.004515299
505	8.003228891
506	7.988358395
507	7.96210191
508	7.950841497
509	7.930976912
510	7.920479642
511	7.904119718
512	7.891863023
513	7.882466933
514	7.870052125
515	7.845754504
516	7.832668503
517	7.820178516
518	7.801362409
519	7.783256308
520	7.781509455
521	7.747458269
522	7.73006995
523	7.700872799
524	7.676576368
525	7.663345087
526	7.640333221
527	7.627277342
528	7.609779512
529	7.598051792
530	7.591078098
531	7.572853534
532	7.558099263
533	7.542302942
534	7.532074295
535	7.530231912
536	7.510405091
537	7.476848465
538	7.455000971
539	7.440352486
540	7.426074855
541	7.416579942
542	7.415229863
543	7.403577666
544	7.390153071
545	7.382738768
546	7.362865222
547	7.351399667
548	7.339390429
549	7.325114785
550	7.315029601
551	7.307561266
552	7.306102259
553	7.288022672
554	7.278628734
555	7.262466731
556	7.246049736
557	7.229826512
558	7.211377912
559	7.210059635
560	7.178931333
561	7.161633011
562	7.148742438
563	7.124909881
564	7.111563811
565	7.100001498
566	7.086316209
567	7.07860467
568	7.074281258
569	7.057368394
570	7.055600037
571	7.02930915
572	7.016793881
573	6.992085051
574	6.973037986
575	6.949507783
576	6.948364872
577	6.940806721
578	6.939734446
579	6.930736603
580	6.918141784
581	6.916914707
582	6.90970167
583	6.901439647
584	6.900299515
585	6.878081939
586	6.866242403
587	6.854972016
588	6.845275693
589	6.831533044
590	6.825504797
591	6.819316163
592	6.792825255
593	6.778818143
594	6.770541991
595	6.762824894
596	6.746825315
597	6.74533864
598	6.724241097
599	6.716327995
600	6.699563415
601	6.698233114
602	6.681561488
603	6.679690454
604	6.65421868
605	6.631589702
606	6.615285852
607	6.594796219
608	6.585806328
609	6.584240097
610	6.572183641
611	6.561063778
612	6.554632961
613	6.546133102
614	6.532678573
615	6.52458869
616	6.507584112
617	6.483781794
618	6.482771494
619	6.462543725
620	6.445898258
621	6.439060957
622	6.424449357
623	6.412909515
624	6.400428906
625	6.386585803
626	6.379904988
627	6.372249511
628	6.360350324
629	6.341742498
630	6.335101767
631	6.321465584
632	6.31969885
633	6.314053146
634	6.304590537
635	6.296700276
636	6.284580271
637	6.277615519
638	6.267245277
639	6.252321485
640	6.249003698
641	6.230410506
642	6.222046519
643	6.213390783
644	6.195009513
645	6.185316058
646	6.168704887
647	6.156369495
648	6.142893348
649	6.131460607
650	6.115590813
651	6.094447807
652	6.082385074
653	6.076102013
654	6.06970824
655	6.05422695
656	6.040845224
657	6.039202359
658	6.038119569
659	6.023798647
660	6.022930178
661	6.011434823
662	6.009641275
663	5.993324261
664	5.992425361
665	5.986077479
666	5.975567615
667	5.96222296
668	5.954425795
669	5.940495275
670	5.933200655
671	5.925467559
672	5.913017237
673	5.900384069
674	5.890292168
675	5.880105707
676	5.86730132
677	5.856530406
678	5.855173318
679	5.839795189
680	5.825652573
681	5.815084482
682	5.806455836
683	5.79853576
684	5.797316485
685	5.785878003
686	5.775134238
687	5.768246285
688	5.758918027
689	5.750533962
690	5.742781114
691	5.725850145
692	5.718681837
693	5.707454613
694	5.694938867
695	5.68531766
696	5.674189427
697	5.663160853
698	5.65323099
699	5.650947961
700	5.63516235
701	5.619952023
702	5.613795757
703	5.602938243
704	5.597011956
705	5.594023821
706	5.592463901
707	5.591313128
708	5.583716563
709	5.580167732
710	5.568533597
711	5.557766908
712	5.544231205
713	5.527765818
714	5.512246891
715	5.497696914
716	5.489450579
717	5.478117705
718	5.465038282
719	5.458767273
720	5.440993908
721	5.42459418
722	5.41299365
723	5.405417302
724	5.390660792
725	5.379965407
726	5.369531129
727	5.366213759
728	5.365127635
729	5.36196226
730	5.352555675
731	5.342760654
732	5.335165772
733	5.325410338
734	5.319018576
735	5.310697572
736	5.301418371
737	5.297650566
738	5.296712293
739	5.288956604
740	5.28135221
741	5.2740829
742	5.261137391
743	5.25574565
744	5.244623775
745	5.24343673
746	5.235770432
747	5.224880662
748	5.2205213
749	5.208776796
750	5.196292961
751	5.183165637
752	5.173539953
753	5.163645664
754	5.158424465
755	5.153847909
756	5.152940843
757	5.145895995
758	5.138431734
759	5.126117763
760	5.124786437
761	5.112420888
762	5.105648518
763	5.092929052
764	5.084060631
765	5.077890708
766	5.064029869
767	5.062770538
768	5.050569496
769	5.03995022
770	5.034452292
771	5.027610564
772	5.019209248
773	5.010347282
774	5.008902468
775	5.007702987
776	4.999969543
777	4.998869875
778	4.988884648
779	4.981001179
780	4.966492705
781	4.95830285
782	4.948408656
783	4.938614557
784	4.928619961
785	4.918871017
786	4.909258822
787	4.901563157
788	4.890760685
789	4.882448691
790	4.87638722
791	4.875559683
792	4.866879774
793	4.857661774
794	4.853666399
795	4.843516391
796	4.833988291
797	4.827623115
798	4.816987452
799	4.8087156
800	4.799658912
801	4.787671776
802	4.783543881
803	4.773791939
804	4.765797367
805	4.762521592
806	4.750586316
807	4.749386304
808	4.744444393
809	4.736601671
810	4.724907363
811	4.722196897
812	4.712271311
813	4.705912895
814	4.692040663
815	4.68371804
816	4.677111981
817	4.660251575
818	4.655525256
819	4.644421878
820	4.630547437
821	4.629794103
822	4.620691413
823	4.613068966
824	4.603168492
825	4.600067783
826	4.588353157
827	4.5841789
828	4.572779169
829	4.565910501
830	4.564801708
831	4.559837643
832	4.555650035
833	4.549818851
834	4.541821746
835	4.535070084
836	4.52916685
837	4.520685883
838	4.515320595
839	4.506900019
840	4.503222213
841	4.495352198
842	4.487662531
843	4.478994368
844	4.477702167
845	4.470710535
846	4.462816685
847	4.455473142
848	4.439534827
849	4.428892606
850	4.422151858
851	4.416875008
852	4.412308059
853	4.405945571
854	4.398309749
855	4.390616319
856	4.386211471
857	4.379965742
858	4.369237285
859	4.368275266
860	4.361968751
861	4.35586212
862	4.350216046
863	4.343982463
864	4.339364176
865	4.331929269
866	4.327153215
867	4.322251995
868	4.318020291
869	4.312428375
870	4.306538408
871	4.300258142
872	4.296292081
873	4.29086651
874	4.283098561
875	4.271771971
876	4.263262118
877	4.254278317
878	4.247655615
879	4.240443319
880	4.234564646
881	4.226401054
882	4.218612878
883	4.21233158
884	4.206225348
885	4.201702446
886	4.195097718
887	4.193921581
888	4.185983399
889	4.181240139
890	4.174209882
891	4.166680446
892	4.158201217
893	4.153785534
894	4.153102349
895	4.145022738
896	4.136529978
897	4.129144389
898	4.128285166
899	4.121843813
900	4.116985179
901	4.110643875
902	4.102421447
903	4.092986485
904	4.092327935
905	4.090518435
906	4.085144733
907	4.073432305
908	4.062043554
909	4.057143068
910	4.052151641
911	4.04477161
912	4.039549795
913	4.030469163
914	4.019254177
915	4.011635033
916	4.007535519
917	3.998561176
918	3.995188183
919	3.991551939
920	3.984153463
921	3.977551561
922	3.973704195
923	3.965987345
924	3.957459647
925	3.945968914
926	3.945331696
927	3.937516824
928	3.92988372
929	3.921557537
930	3.913103155
931	3.901470076
932	3.895588129
933	3.888892116
934	3.886896707
935	3.886262142
936	3.874653754
937	3.870658297
938	3.860760563
939	3.856055266
940	3.852232926
941	3.845155357
942	3.840200209
943	3.833954451
944	3.827040622
945	3.818947597
946	3.813060678
947	3.810467369
948	3.804346524
949	3.796546645
950	3.787774938
951	3.777616202
952	3.7707086
953	3.763590452
954	3.755738012
955	3.74997147
956	3.742414347
957	3.732393422
958	3.731833646
959	3.727354965
960	3.720744212
961	3.714046821
962	3.705816995
963	3.695220765
964	3.690494282
965	3.686000637
966	3.685484794
967	3.679775181
968	3.67061879
969	3.658977071
970	3.654215169
971	3.6476377
972	3.64686363
973	3.642081042
974	3.636400049
975	3.62707221
976	3.618887284
977	3.611979303
978	3.611400733
979	3.603350785
980	3.597257524
981	3.59272091
982	3.587413608
983	3.583465292
984	3.578225989
985	3.571241714
986	3.566044616
987	3.558376723
988	3.553084821
989	3.550963507
990	3.543671764
991	3.537659936
992	3.531059569
993	3.525184105
994	3.520597186
995	3.514532203
996	3.509912657
997	3.504149657
998	3.498967711
999	3.498146416
