,statecounty,allrace_cvd_mortality_per_100k_2018_2020,api_cvd_mortality_per_100k_2018_2020
183,04Pinal County,237.8,158.0
184,04Santa Cruz County,222.6,126.3
185,04Yavapai County,268.6,162.0
186,04Yuma County,258.5,156.2
187,06Alameda County,213.4,131.2
188,06Alpine County,336.9,
189,06Amador County,312.6,178.6
190,06Butte County,326.9,208.0
191,06Calaveras County,300.0,213.5
192,06Colusa County,304.8,157.3
193,06Contra Costa County,200.5,118.9
194,06Del Norte County,305.8,187.9
195,06El Dorado County,248.4,157.1
196,06Fresno County,341.7,273.3
197,06Glenn County,316.8,188.8
198,06Humboldt County,308.4,202.4
199,06Imperial County,257.7,174.7
200,06Inyo County,333.6,234.2
201,06Kern County,383.2,222.9
202,06Kings County,334.4,269.4
203,06Lake County,314.4,132.2
204,06Lassen County,354.6,239.7
205,06Los Angeles County,292.7,189.5
206,06Madera County,287.6,272.8
207,06Marin County,170.1,110.7
208,06Mariposa County,312.0,263.9
209,06Mendocino County,278.1,165.7
210,06Merced County,308.5,248.1
211,06Modoc County,345.4,235.0
212,06Mono County,223.8,203.2
213,06Monterey County,213.6,169.1
214,06Napa County,243.8,141.9
215,06Nevada County,251.3,196.6
216,06Orange County,252.2,162.0
217,06Placer County,235.5,164.7
218,06Plumas County,342.6,254.2
219,06Riverside County,338.7,204.4
220,06Sacramento County,280.4,188.2
221,06San Benito County,230.9,160.5
222,06San Bernardino County,368.5,195.2
223,06San Diego County,243.1,167.8
224,06San Francisco County,211.8,158.5
225,06San Joaquin County,304.1,207.4
226,06San Luis Obispo County,217.3,190.4
227,06San Mateo County,204.4,146.7
228,06Santa Barbara County,251.1,198.0
229,06Santa Clara County,182.8,120.7
230,06Santa Cruz County,195.4,144.1
231,06Shasta County,375.7,270.1
232,06Sierra County,320.2,
233,06Siskiyou County,310.0,161.2
234,06Solano County,218.0,154.4
235,06Sonoma County,229.9,139.0
236,06Stanislaus County,355.3,242.7
237,06Sutter County,284.7,187.7
238,06Tehama County,362.6,219.1
239,06Trinity County,315.7,244.7
240,06Tulare County,361.3,272.6
241,06Tuolumne County,302.6,359.5
242,06Ventura County,254.3,174.7
243,06Yolo County,242.3,146.8
244,06Yuba County,348.5,213.9
