,statecounty,allrace_cvd_mortality_per_100k_2018_2020,api_cvd_mortality_per_100k_2018_2020
904,20Cloud County,349.9,
905,20Coffey County,358.8,
906,20Comanche County,426.4,
907,20Cowley County,373.2,131.4
908,20Crawford County,418.8,
909,20Decatur County,309.5,
910,20Dickinson County,308.9,
911,20Doniphan County,349.1,
912,20Douglas County,269.1,74.5
913,20Edwards County,368.5,
914,20Elk County,384.0,
915,20Ellis County,273.2,
916,20Ellsworth County,311.0,
917,20Finney County,240.9,
918,20Ford County,352.1,
919,20Franklin County,347.0,116.9
920,20Geary County,482.8,
921,20Gove County,296.8,
922,20Graham County,319.5,
923,20Grant County,355.6,
924,20Gray County,250.3,
925,20Greeley County,295.2,
926,20Greenwood County,356.9,
927,20Hamilton County,341.2,
928,20Harper County,369.0,
929,20Harvey County,327.2,123.7
930,20Haskell County,280.3,
931,20Hodgeman County,342.5,
932,20Jackson County,346.8,
933,20Jefferson County,312.9,
934,20Jewell County,350.1,
935,20Johnson County,244.5,135.3
936,20Kearny County,270.3,
937,20Kingman County,441.2,
938,20Kiowa County,378.6,
939,20Labette County,440.0,
940,20Lane County,249.9,
941,20Leavenworth County,338.5,206.6
942,20Lincoln County,298.5,
943,20Linn County,356.6,
944,20Logan County,263.0,
945,20Lyon County,335.6,
946,20McPherson County,294.5,
947,20Marion County,305.5,
948,20Marshall County,281.4,
949,20Meade County,344.7,
950,20Miami County,294.2,119.5
951,20Mitchell County,339.4,
952,20Montgomery County,475.5,
953,20Morris County,347.1,
954,20Morton County,438.1,
955,20Nemaha County,270.4,
956,20Neosho County,414.3,
957,20Ness County,277.4,
958,20Norton County,295.9,
959,20Osage County,319.8,
960,20Osborne County,308.2,
961,20Ottawa County,292.2,
962,20Pawnee County,337.2,
963,20Phillips County,294.5,
964,20Pottawatomie County,310.1,
965,20Pratt County,380.8,
966,20Rawlins County,297.4,
967,20Reno County,308.1,76.0
968,20Republic County,360.4,
969,20Rice County,307.9,
970,20Riley County,279.4,
971,20Rooks County,284.7,
972,20Rush County,311.2,
973,20Russell County,335.9,
974,20Saline County,282.7,
975,20Scott County,246.2,
976,20Sedgwick County,333.3,125.0
977,20Seward County,352.7,
978,20Shawnee County,329.9,
979,20Sheridan County,285.9,
980,20Sherman County,275.4,
981,20Smith County,299.1,
982,20Stafford County,322.5,
983,20Stanton County,329.4,
984,20Stevens County,300.8,
985,20Sumner County,362.1,111.4
986,20Thomas County,274.8,
987,20Trego County,274.1,
988,20Wabaunsee County,306.0,
989,20Wallace County,262.9,
990,20Washington County,308.6,
991,20Wichita County,286.0,
992,20Wilson County,393.2,
993,20Woodson County,369.0,
994,20Wyandotte County,366.7,149.9
995,21Adair County,421.4,
996,21Allen County,365.1,
997,21Anderson County,360.7,
998,21Ballard County,456.4,
999,21Barren County,384.1,
1000,21Bath County,468.0,
1001,21Bell County,569.9,
1002,21Boone County,290.3,121.3
1003,21Bourbon County,373.6,
1004,21Boyd County,512.5,
1005,21Boyle County,349.0,
1006,21Bracken County,380.5,
1007,21Breathitt County,780.2,
1008,21Breckinridge County,355.1,
1009,21Bullitt County,302.2,240.5
1010,21Butler County,374.9,
1011,21Caldwell County,504.9,
1012,21Calloway County,415.4,
1013,21Campbell County,315.3,106.7
1014,21Carlisle County,361.7,
1015,21Carroll County,416.7,
1016,21Carter County,439.3,
1017,21Casey County,296.2,
1018,21Christian County,487.6,
1019,21Clark County,423.4,
1020,21Clay County,556.0,
1021,21Clinton County,401.4,
1022,21Crittenden County,532.8,
1023,21Cumberland County,449.2,
1024,21Daviess County,388.9,
1025,21Edmonson County,367.9,
1026,21Elliott County,385.4,
1027,21Estill County,490.7,
1028,21Fayette County,276.8,141.6
1029,21Fleming County,425.0,
1030,21Floyd County,562.4,
1031,21Franklin County,404.1,
1032,21Fulton County,578.4,
1033,21Gallatin County,416.2,
1034,21Garrard County,325.0,
1035,21Grant County,393.2,
1036,21Graves County,370.2,
1037,21Grayson County,377.2,
1038,21Green County,421.3,
1039,21Greenup County,400.1,
1040,21Hancock County,405.9,
1041,21Hardin County,316.3,234.1
1042,21Harlan County,632.4,
1043,21Harrison County,447.3,
1044,21Hart County,419.5,
1045,21Henderson County,384.2,
1046,21Henry County,321.0,
1047,21Hickman County,448.8,
1048,21Hopkins County,495.6,
1049,21Jackson County,597.3,
1050,21Jefferson County,347.0,235.1
1051,21Jessamine County,274.4,
1052,21Johnson County,409.0,
1053,21Kenton County,305.4,119.1
1054,21Knott County,434.2,
1055,21Knox County,445.8,
1056,21Larue County,342.3,
1057,21Laurel County,473.3,
1058,21Lawrence County,422.2,
1059,21Lee County,485.0,
1060,21Leslie County,544.2,
1061,21Letcher County,455.2,
1062,21Lewis County,461.2,
1063,21Lincoln County,357.6,
1064,21Livingston County,392.0,
1065,21Logan County,424.5,
1066,21Lyon County,384.7,
1067,21McCracken County,354.3,
1068,21McCreary County,545.6,
1069,21McLean County,458.7,
1070,21Madison County,355.3,
1071,21Magoffin County,533.7,
1072,21Marion County,335.8,
1073,21Marshall County,371.1,
1074,21Martin County,478.8,
1075,21Mason County,454.6,
1076,21Meade County,344.2,
1077,21Menifee County,332.5,
1078,21Mercer County,369.3,
1079,21Metcalfe County,429.2,
1080,21Monroe County,455.7,
1081,21Montgomery County,496.1,
1082,21Morgan County,348.5,
1083,21Muhlenberg County,488.9,
1084,21Nelson County,337.8,
1085,21Nicholas County,442.0,
1086,21Ohio County,456.7,
1087,21Oldham County,295.7,212.2
1088,21Owen County,406.7,
1089,21Owsley County,606.9,
1090,21Pendleton County,395.6,
1091,21Perry County,776.8,
1092,21Pike County,474.7,
1093,21Powell County,555.6,
1094,21Pulaski County,399.9,
1095,21Robertson County,464.5,
1096,21Rockcastle County,447.6,
1097,21Rowan County,377.7,
1098,21Russell County,423.5,
1099,21Scott County,415.4,
1100,21Shelby County,333.2,227.8
1101,21Simpson County,447.8,304.8
1102,21Spencer County,346.1,234.2
1103,21Taylor County,418.2,
1104,21Todd County,433.3,
1105,21Trigg County,523.2,
1106,21Trimble County,411.6,
1107,21Union County,370.1,
1108,21Warren County,369.1,250.6
1109,21Washington County,355.7,
1110,21Wayne County,373.6,
1111,21Webster County,449.0,
1112,21Whitley County,602.0,
1113,21Wolfe County,669.7,
1114,21Woodford County,322.5,
1115,22Acadia Parish,487.3,
1116,22Allen Parish,465.9,
1117,22Ascension Parish,357.4,186.4
1118,22Assumption Parish,402.9,270.5
1119,22Avoyelles Parish,553.2,
1120,22Beauregard Parish,502.2,
1121,22Bienville Parish,380.9,
1122,22Bossier Parish,377.2,
1123,22Caddo Parish,329.0,46.6
1124,22Calcasieu Parish,587.9,
1125,22Caldwell Parish,658.2,
1126,22Cameron Parish,512.2,
1127,22Catahoula Parish,667.2,
1128,22Claiborne Parish,368.9,
1129,22Concordia Parish,593.7,
1130,22De Soto Parish,380.6,
1131,22East Baton Rouge Parish,413.0,189.7
1132,22East Carroll Parish,506.2,
1133,22East Feliciana Parish,569.7,171.8
1134,22Evangeline Parish,507.9,
1135,22Franklin Parish,820.8,
1136,22Grant Parish,420.2,
1137,22Iberia Parish,517.1,283.0
1138,22Iberville Parish,361.9,216.9
1139,22Jackson Parish,444.9,
1140,22Jefferson Parish,351.9,173.7
1141,22Jefferson Davis Parish,472.3,365.6
1142,22Lafayette Parish,384.2,164.6
1143,22Lafourche Parish,388.3,178.5
1144,22La Salle Parish,456.5,
1145,22Lincoln Parish,289.9,
1146,22Livingston Parish,409.6,181.8
1147,22Madison Parish,616.4,
1148,22Morehouse Parish,579.0,
1149,22Natchitoches Parish,426.5,
1150,22Orleans Parish,338.9,166.9
1151,22Ouachita Parish,348.5,
1152,22Plaquemines Parish,340.6,151.7
1153,22Pointe Coupee Parish,457.6,
1154,22Rapides Parish,575.3,
1155,22Red River Parish,367.2,
1156,22Richland Parish,577.1,
1157,22Sabine Parish,414.4,
1158,22St. Bernard Parish,335.4,117.7
1159,22St. Charles Parish,392.8,188.2
1160,22St. Helena Parish,417.8,
1161,22St. James Parish,416.8,
1162,22St. John the Baptist Parish,488.6,
1163,22St. Landry Parish,507.6,
1164,22St. Martin Parish,470.4,188.9
1165,22St. Mary Parish,460.3,
1166,22St. Tammany Parish,313.6,69.9
1167,22Tangipahoa Parish,457.0,
1168,22Tensas Parish,707.7,
1169,22Terrebonne Parish,400.6,
1170,22Union Parish,301.9,
1171,22Vermilion Parish,513.2,299.4
1172,22Vernon Parish,585.4,
1173,22Washington Parish,476.5,
1174,22Webster Parish,433.3,
1175,22West Baton Rouge Parish,339.5,173.7
1176,22West Carroll Parish,542.6,
1177,22West Feliciana Parish,337.3,
1178,22Winn Parish,535.8,
1179,25Barnstable County,256.0,96.1
1180,25Berkshire County,281.5,117.9
1181,25Bristol County,272.2,145.8
1182,25Dukes County,230.2,
1183,25Essex County,260.7,106.6
1184,25Franklin County,276.3,115.5
1185,25Hampden County,290.9,131.4
1186,25Hampshire County,270.9,119.7
1187,25Middlesex County,225.8,110.1
1188,25Nantucket County,236.2,
1189,25Norfolk County,225.0,108.9
1190,25Plymouth County,261.2,107.2
1191,25Suffolk County,216.3,109.6
1192,25Worcester County,270.8,126.5
1193,24Allegany County,411.3,
1194,24Anne Arundel County,304.6,155.1
1195,24Baltimore County County,349.4,151.7
1196,24Calvert County,319.0,151.0
1197,24Caroline County,384.4,126.3
1198,24Carroll County,311.5,130.6
1199,24Cecil County,400.8,114.9
1200,24Charles County,321.1,118.1
1201,24Dorchester County,381.5,202.8
1202,24Frederick County,282.3,116.5
1203,24Garrett County,453.1,
1204,24Harford County,326.7,156.0
1205,24Howard County,227.3,142.9
1206,24Kent County,340.8,113.7
1207,24Montgomery County,190.9,129.7
1208,24Prince George's County,327.0,140.2
1209,24Queen Anne's County,299.4,
1210,24St. Mary's County,321.8,127.9
1211,24Somerset County,539.7,
1212,24Talbot County,298.4,
1213,24Washington County,373.3,203.5
1214,24Wicomico County,465.3,180.9
1215,24Worcester County,337.3,177.7
1216,24Baltimore City,436.5,163.9
1217,23Androscoggin County,321.3,171.3
1218,23Aroostook County,283.5,
1219,23Cumberland County,249.5,159.6
1220,23Franklin County,287.0,
1221,23Hancock County,272.3,
1222,23Kennebec County,296.1,
1223,23Knox County,294.6,
1224,23Lincoln County,270.5,
1225,23Oxford County,276.6,150.2
1226,23Penobscot County,319.2,
1227,23Piscataquis County,326.3,
1228,23Sagadahoc County,267.0,173.0
1229,23Somerset County,335.4,
1230,23Waldo County,305.1,
1231,23Washington County,332.0,
1232,23York County,254.1,138.0
1233,26Alcona County,448.1,
1234,26Alger County,334.5,
1235,26Allegan County,317.8,129.1
1236,26Alpena County,435.0,
1237,26Antrim County,309.9,
1238,26Arenac County,451.9,
1239,26Baraga County,319.5,
1240,26Barry County,340.0,111.5
1241,26Bay County,447.6,
1242,26Benzie County,301.8,
1243,26Berrien County,421.4,163.6
1244,26Branch County,369.1,
1245,26Calhoun County,385.6,146.8
1246,26Cass County,369.2,149.5
1247,26Charlevoix County,293.0,
1248,26Cheboygan County,371.3,
1249,26Chippewa County,317.8,
1250,26Clare County,448.0,
1251,26Clinton County,299.2,179.9
1252,26Crawford County,373.1,
1253,26Delta County,373.0,
1254,26Dickinson County,280.2,
1255,26Eaton County,342.9,137.7
1256,26Emmet County,343.4,
1257,26Genesee County,428.8,151.4
1258,26Gladwin County,454.9,
1259,26Gogebic County,352.2,
1260,26Grand Traverse County,310.8,
1261,26Gratiot County,422.9,
1262,26Hillsdale County,421.6,
1263,26Houghton County,324.9,
1264,26Huron County,429.4,
1265,26Ingham County,308.7,146.8
1266,26Ionia County,338.0,98.8
1267,26Iosco County,441.4,
1268,26Iron County,330.6,
1269,26Isabella County,387.2,
1270,26Jackson County,416.5,140.6
1271,26Kalamazoo County,320.9,123.7
1272,26Kalkaska County,403.4,
1273,26Kent County,337.2,109.5
1274,26Keweenaw County,304.1,
1275,26Lake County,342.1,
1276,26Lapeer County,398.7,157.5
1277,26Leelanau County,296.8,
1278,26Lenawee County,451.3,121.8
1279,26Livingston County,364.3,148.3
1280,26Luce County,311.2,
1281,26Mackinac County,307.7,
1282,26Macomb County,372.7,173.4
1283,26Manistee County,315.3,
1284,26Marquette County,319.5,
1285,26Mason County,335.7,
1286,26Mecosta County,388.0,
1287,26Menominee County,394.5,
1288,26Midland County,299.6,
1289,26Missaukee County,380.9,
1290,26Monroe County,393.8,161.4
1291,26Montcalm County,345.2,104.7
1292,26Montmorency County,418.1,
1293,26Muskegon County,329.1,157.5
1294,26Newaygo County,339.8,109.4
1295,26Oakland County,357.1,154.3
1296,26Oceana County,334.6,
1297,26Ogemaw County,431.5,
1298,26Ontonagon County,349.8,
1299,26Osceola County,349.3,
1300,26Oscoda County,425.4,
1301,26Otsego County,354.9,
1302,26Ottawa County,281.4,154.8
1303,26Presque Isle County,412.8,
1304,26Roscommon County,423.6,
1305,26Saginaw County,357.5,160.8
1306,26St. Clair County,435.3,175.2
1307,26St. Joseph County,366.2,147.3
1308,26Sanilac County,431.4,
1309,26Schoolcraft County,328.1,
1310,26Shiawassee County,397.9,170.9
1311,26Tuscola County,410.0,178.9
1312,26Van Buren County,376.4,
1313,26Washtenaw County,317.0,150.8
1314,26Wayne County,489.3,188.3
1315,26Wexford County,315.8,
1316,27Aitkin County,271.1,
1317,27Anoka County,184.2,134.5
1318,27Becker County,249.6,
1319,27Beltrami County,257.7,
1320,27Benton County,233.5,
1321,27Big Stone County,318.5,
1322,27Blue Earth County,258.3,
1323,27Brown County,217.1,
1324,27Carlton County,278.3,
1325,27Carver County,188.3,102.6
1326,27Cass County,233.2,
1327,27Chippewa County,237.2,
1328,27Chisago County,257.4,114.2
1329,27Clay County,244.2,
1330,27Clearwater County,289.0,
1331,27Cook County,191.7,
1332,27Cottonwood County,318.9,
1333,27Crow Wing County,228.4,
1334,27Dakota County,198.2,136.9
1335,27Dodge County,288.2,164.3
1336,27Douglas County,266.3,
1337,27Faribault County,316.4,
1338,27Fillmore County,295.2,187.5
1339,27Freeborn County,289.4,
1340,27Goodhue County,299.5,147.5
1341,27Grant County,274.6,
1342,27Hennepin County,195.9,122.7
1343,27Houston County,292.9,
1344,27Hubbard County,247.2,
1345,27Isanti County,239.7,140.8
1346,27Itasca County,260.4,
1347,27Jackson County,300.7,
1348,27Kanabec County,265.5,
1349,27Kandiyohi County,224.5,
1350,27Kittson County,306.1,
1351,27Koochiching County,260.1,
1352,27Lac qui Parle County,275.9,
1353,27Lake County,245.1,
1354,27Lake of the Woods County,299.2,
1355,27Le Sueur County,244.3,
1356,27Lincoln County,275.0,
1357,27Lyon County,241.7,
1358,27McLeod County,247.4,
1359,27Mahnomen County,306.2,
1360,27Marshall County,297.9,
1361,27Martin County,287.1,
1362,27Meeker County,256.0,
1363,27Mille Lacs County,244.6,
1364,27Morrison County,212.1,
1365,27Mower County,275.0,217.3
1366,27Murray County,253.4,
1367,27Nicollet County,236.8,
1368,27Nobles County,266.1,
1369,27Norman County,248.9,
1370,27Olmsted County,283.7,182.1
1371,27Otter Tail County,318.4,
1372,27Pennington County,285.4,
1373,27Pine County,272.9,
1374,27Pipestone County,272.3,
1375,27Polk County,307.4,
1376,27Pope County,222.0,
1377,27Ramsey County,214.8,164.5
1378,27Red Lake County,306.0,
1379,27Redwood County,258.3,
1380,27Renville County,232.5,
1381,27Rice County,219.5,52.8
1382,27Rock County,301.0,
1383,27Roseau County,318.4,
1384,27St. Louis County,258.2,
1385,27Scott County,195.1,93.5
1386,27Sherburne County,208.4,122.3
1387,27Sibley County,214.1,
1388,27Stearns County,198.7,
1389,27Steele County,276.9,
1390,27Stevens County,275.5,
1391,27Swift County,253.8,
1392,27Todd County,215.3,
1393,27Traverse County,377.8,
1394,27Wabasha County,282.4,180.8
1395,27Wadena County,262.8,
1396,27Waseca County,273.5,
1397,27Washington County,192.7,132.8
1398,27Watonwan County,283.9,
1399,27Wilkin County,371.9,
1400,27Winona County,279.7,181.9
1401,27Wright County,221.5,114.1
1402,27Yellow Medicine County,250.7,
1403,29Adair County,312.0,
1404,29Andrew County,343.7,
1405,29Atchison County,303.1,
1406,29Audrain County,338.0,
1407,29Barry County,461.8,298.2
1408,29Barton County,421.2,
1409,29Bates County,366.7,
1410,29Benton County,336.5,
1411,29Bollinger County,448.6,
1412,29Boone County,284.9,97.3
1413,29Buchanan County,394.8,
1414,29Butler County,445.5,
1415,29Caldwell County,353.1,
1416,29Callaway County,340.0,
1417,29Camden County,301.7,
1418,29Cape Girardeau County,405.3,
1419,29Carroll County,391.3,
1420,29Carter County,442.5,
1421,29Cass County,317.0,141.2
1422,29Cedar County,403.6,
1423,29Chariton County,361.7,
1424,29Christian County,317.9,
1425,29Clark County,402.0,
1426,29Clay County,291.5,159.2
1427,29Clinton County,365.8,
1428,29Cole County,310.7,
1429,29Cooper County,411.5,
1430,29Crawford County,568.4,
1431,29Dade County,427.2,
1432,29Dallas County,365.5,
1433,29Daviess County,399.5,
1434,29DeKalb County,381.2,
1435,29Dent County,345.5,
1436,29Douglas County,445.0,
1437,29Dunklin County,570.9,
1438,29Franklin County,379.2,216.6
1439,29Gasconade County,352.3,
1440,29Gentry County,340.2,
1441,29Greene County,388.9,95.4
1442,29Grundy County,382.1,
1443,29Harrison County,405.1,
1444,29Henry County,452.5,
1445,29Hickory County,323.6,
1446,29Holt County,309.6,
1447,29Howard County,375.8,
1448,29Howell County,402.0,
1449,29Iron County,593.0,
1450,29Jackson County,335.1,162.9
1451,29Jasper County,450.9,
1452,29Jefferson County,385.8,169.5
1453,29Johnson County,374.5,176.6
1454,29Knox County,358.4,
1455,29Laclede County,428.5,
1456,29Lafayette County,378.8,240.9
1457,29Lawrence County,445.5,145.7
1458,29Lewis County,412.1,
1459,29Lincoln County,337.9,238.3
1460,29Linn County,464.9,
1461,29Livingston County,311.1,
1462,29McDonald County,362.9,422.8
1463,29Macon County,428.9,
1464,29Madison County,426.5,
1465,29Maries County,379.1,
1466,29Marion County,365.2,
1467,29Mercer County,366.1,
1468,29Miller County,370.0,
1469,29Mississippi County,549.4,
1470,29Moniteau County,351.6,
1471,29Monroe County,356.1,
1472,29Montgomery County,509.7,
1473,29Morgan County,394.7,
1474,29New Madrid County,495.8,
1475,29Newton County,448.2,377.1
1476,29Nodaway County,332.6,
1477,29Oregon County,422.4,
1478,29Osage County,309.5,
1479,29Ozark County,351.5,
1480,29Pemiscot County,683.8,
1481,29Perry County,389.0,
1482,29Pettis County,404.8,
1483,29Phelps County,311.0,
1484,29Pike County,389.7,
1485,29Platte County,275.1,142.1
1486,29Polk County,393.0,
1487,29Pulaski County,370.5,
1488,29Putnam County,306.4,
1489,29Ralls County,312.7,
1490,29Randolph County,442.2,
1491,29Ray County,362.2,
1492,29Reynolds County,442.6,
1493,29Ripley County,445.1,
1494,29St. Charles County,289.2,182.0
1495,29St. Clair County,390.8,
1496,29Ste. Genevieve County,378.8,
1497,29St. Francois County,421.8,
1498,29St. Louis County County,348.7,176.6
1499,29Saline County,398.3,
1500,29Schuyler County,317.1,
1501,29Scotland County,328.7,
1502,29Scott County,488.6,
1503,29Shannon County,410.6,
1504,29Shelby County,410.2,
1505,29Stoddard County,467.8,
1506,29Stone County,417.8,
1507,29Sullivan County,380.8,
1508,29Taney County,520.1,
1509,29Texas County,422.2,
1510,29Vernon County,383.5,
1511,29Warren County,309.1,241.5
1512,29Washington County,536.8,
1513,29Wayne County,409.8,
1514,29Webster County,410.6,
1515,29Worth County,360.1,
1516,29Wright County,482.5,
1517,29St. Louis City,421.1,152.6
1518,69Mariana Islands County,316.8,
1519,28Adams County,346.4,
1520,28Alcorn County,500.5,
1521,28Amite County,504.5,
1522,28Attala County,443.7,
1523,28Benton County,410.7,
1524,28Bolivar County,464.3,
1525,28Calhoun County,454.3,
1526,28Carroll County,427.8,
1527,28Chickasaw County,444.2,
1528,28Choctaw County,480.1,
1529,28Claiborne County,647.3,
1530,28Clarke County,549.2,
1531,28Clay County,396.0,
1532,28Coahoma County,466.3,
1533,28Copiah County,452.6,
1534,28Covington County,537.7,
1535,28DeSoto County,413.5,220.0
1536,28Forrest County,397.1,
1537,28Franklin County,400.9,
1538,28George County,600.2,196.5
1539,28Greene County,515.9,
1540,28Grenada County,504.7,
1541,28Hancock County,396.2,176.6
1542,28Harrison County,525.5,262.1
1543,28Hinds County,433.3,
1544,28Holmes County,503.2,
1545,28Humphreys County,578.2,
1546,28Issaquena County,411.3,
1547,28Itawamba County,505.0,
1548,28Jackson County,399.7,229.1
1549,28Jasper County,482.6,
1550,28Jefferson County,421.9,
1551,28Jefferson Davis County,390.2,
1552,28Jones County,438.2,
1553,28Kemper County,440.5,
1554,28Lafayette County,417.5,
1555,28Lamar County,325.8,
1556,28Lauderdale County,538.2,
1557,28Lawrence County,469.3,
1558,28Leake County,395.2,
1559,28Lee County,376.1,
1560,28Leflore County,671.8,
1561,28Lincoln County,467.9,
1562,28Lowndes County,449.1,
1563,28Madison County,406.7,
1564,28Marion County,447.4,
1565,28Marshall County,407.3,203.8
1566,28Monroe County,392.0,
1567,28Montgomery County,518.1,
1568,28Neshoba County,704.4,
1569,28Newton County,427.8,
1570,28Noxubee County,585.3,
1571,28Oktibbeha County,375.7,
1572,28Panola County,598.8,
1573,28Pearl River County,442.5,177.2
1574,28Perry County,436.5,
1575,28Pike County,472.0,
1576,28Pontotoc County,375.7,
1577,28Prentiss County,519.8,
1578,28Quitman County,520.6,
1579,28Rankin County,315.4,
1580,28Scott County,425.6,
1581,28Sharkey County,465.4,
1582,28Simpson County,493.9,
1583,28Smith County,364.9,
1584,28Stone County,453.9,259.2
1585,28Sunflower County,449.0,
1586,28Tallahatchie County,380.0,
1587,28Tate County,500.4,
1588,28Tippah County,485.7,
1589,28Tishomingo County,625.0,
1590,28Tunica County,732.7,
1591,28Union County,458.6,
1592,28Walthall County,478.5,
1593,28Warren County,411.6,
1594,28Washington County,443.7,
1595,28Wayne County,464.8,
1596,28Webster County,535.8,
1597,28Wilkinson County,524.7,
1598,28Winston County,443.6,
1599,28Yalobusha County,684.8,
1600,28Yazoo County,367.9,
1601,30Beaverhead County,304.6,
1602,30Big Horn County,353.7,
1603,30Blaine County,430.7,
1604,30Broadwater County,284.7,
1605,30Carbon County,259.7,
1606,30Carter County,314.1,
1607,30Cascade County,282.8,
1608,30Chouteau County,298.0,
1609,30Custer County,331.4,
1610,30Daniels County,352.8,
1611,30Dawson County,202.3,
1612,30Deer Lodge County,411.9,
1613,30Fallon County,296.4,
1614,30Fergus County,361.4,
1615,30Flathead County,301.2,
1616,30Gallatin County,258.5,
1617,30Garfield County,342.3,
1618,30Glacier County,313.4,
1619,30Golden Valley County,328.8,
1620,30Granite County,313.0,
1621,30Hill County,493.5,
1622,30Jefferson County,366.8,
1623,30Judith Basin County,301.6,
1624,30Lake County,306.1,
1625,30Lewis and Clark County,284.0,
1626,30Liberty County,315.5,
1627,30Lincoln County,284.0,
1628,30McCone County,287.3,
1629,30Madison County,246.7,
1630,30Meagher County,272.6,
1631,30Mineral County,331.8,
1632,30Missoula County,314.8,
1633,30Musselshell County,334.7,
1634,30Park County,252.2,
1635,30Petroleum County,359.2,
1636,30Phillips County,377.1,
1637,30Pondera County,305.6,
1638,30Powder River County,324.8,
1639,30Powell County,330.5,
1640,30Prairie County,258.3,
1641,30Ravalli County,306.3,
1642,30Richland County,305.2,
1643,30Roosevelt County,496.8,
1644,30Rosebud County,334.7,
1645,30Sanders County,296.7,
1646,30Sheridan County,249.8,
1647,30Silver Bow County,455.7,
1648,30Stillwater County,289.8,
1649,30Sweet Grass County,250.5,
1650,30Teton County,289.3,
1651,30Toole County,343.2,
1652,30Treasure County,336.4,
1653,30Valley County,394.0,
1654,30Wheatland County,334.7,
1655,30Wibaux County,274.7,
1656,30Yellowstone County,329.6,
1657,37Alamance County,328.5,113.7
1658,37Alexander County,314.4,
1659,37Alleghany County,313.1,
1660,37Anson County,404.9,224.1
1661,37Ashe County,307.8,
1662,37Avery County,340.3,
1663,37Beaufort County,334.5,
1664,37Bertie County,346.5,
1665,37Bladen County,370.3,151.0
1666,37Brunswick County,258.6,148.0
1667,37Buncombe County,293.0,74.2
1668,37Burke County,322.5,262.5
1669,37Cabarrus County,297.4,201.7
1670,37Caldwell County,350.8,
1671,37Camden County,359.9,145.6
1672,37Carteret County,328.0,208.5
1673,37Caswell County,359.9,
1674,37Catawba County,309.7,143.5
1675,37Chatham County,216.8,123.1
1676,37Cherokee County,354.5,
1677,37Chowan County,358.3,
1678,37Clay County,318.5,
1679,37Cleveland County,383.9,146.1
1680,37Columbus County,454.8,259.6
1681,37Craven County,337.8,
1682,37Cumberland County,344.8,135.3
1683,37Currituck County,365.2,144.3
1684,37Dare County,266.2,
1685,37Davidson County,326.5,137.0
1686,37Davie County,281.0,115.8
1687,37Duplin County,325.8,
1688,37Durham County,237.4,109.7
1689,37Edgecombe County,389.5,
1690,37Forsyth County,278.7,110.4
1691,37Franklin County,315.2,97.6
1692,37Gaston County,338.9,144.3
1693,37Gates County,352.7,
1694,37Graham County,333.9,
1695,37Granville County,281.3,408.9
1696,37Greene County,333.7,
1697,37Guilford County,260.6,112.8
1698,37Halifax County,364.6,
1699,37Harnett County,320.7,131.0
1700,37Haywood County,316.6,
1701,37Henderson County,274.0,122.8
1702,37Hertford County,325.9,
1703,37Hoke County,353.6,99.4
1704,37Hyde County,312.3,
1705,37Iredell County,299.3,251.7
1706,37Jackson County,295.4,
1707,37Johnston County,319.3,135.5
1708,37Jones County,328.4,210.5
1709,37Lee County,302.2,
1710,37Lenoir County,446.9,
1711,37Lincoln County,284.0,272.0
1712,37McDowell County,313.0,
1713,37Macon County,289.3,
1714,37Madison County,336.7,
1715,37Martin County,389.6,
1716,37Mecklenburg County,244.0,142.6
1717,37Mitchell County,403.9,
1718,37Montgomery County,326.5,
1719,37Moore County,243.9,136.5
1720,37Nash County,375.3,132.0
1721,37New Hanover County,253.4,205.2
1722,37Northampton County,322.3,
1723,37Onslow County,344.4,144.7
1724,37Orange County,204.1,105.8
1725,37Pamlico County,330.7,
1726,37Pasquotank County,443.6,
1727,37Pender County,300.5,158.0
1728,37Perquimans County,386.5,
1729,37Person County,327.3,134.9
1730,37Pitt County,331.4,224.9
1731,37Polk County,293.5,172.5
1732,37Randolph County,369.5,131.1
1733,37Richmond County,441.2,
1734,37Robeson County,444.5,336.6
1735,37Rockingham County,361.0,104.7
1736,37Rowan County,377.4,171.2
1737,37Rutherford County,353.4,150.3
1738,37Sampson County,341.8,123.1
1739,37Scotland County,432.8,
1740,37Stanly County,383.5,186.0
1741,37Stokes County,325.5,93.3
1742,37Surry County,310.9,
1743,37Swain County,376.8,
1744,37Transylvania County,258.4,131.5
1745,37Tyrrell County,362.6,
1746,37Union County,242.2,242.7
1747,37Vance County,371.7,
1748,37Wake County,225.8,131.5
1749,37Warren County,355.1,
1750,37Washington County,371.1,
1751,37Watauga County,283.8,
1752,37Wayne County,386.4,
1753,37Wilkes County,323.3,
1754,37Wilson County,368.0,
1755,37Yadkin County,313.3,
1756,37Yancey County,312.0,
1757,38Adams County,320.6,
1758,38Barnes County,238.6,
1759,38Benson County,332.3,
1760,38Billings County,270.8,
1761,38Bottineau County,349.4,
1762,38Bowman County,280.9,
1763,38Burke County,236.1,
1764,38Burleigh County,258.5,
1765,38Cass County,231.4,172.3
1766,38Cavalier County,287.0,
1767,38Dickey County,295.1,
1768,38Divide County,249.8,
1769,38Dunn County,292.0,
1770,38Eddy County,323.4,
1771,38Emmons County,238.1,
1772,38Foster County,299.2,
1773,38Golden Valley County,291.0,
1774,38Grand Forks County,307.6,
1775,38Grant County,279.1,
1776,38Griggs County,284.8,
1777,38Hettinger County,266.2,
1778,38Kidder County,244.4,
1779,38LaMoure County,260.2,
